CaseID,tm_start,tm_finish,duration,QFLAG,weight,xacslang,xspanish,xvaccine,xideo,xparty7,urb_sub_rur,DeviceType,Browser,Q1,Q3,DOVQ4Order,Q4,Q5,Q7,DOVQ7aOrder,Q7a,Q7Text,DOVQ7bOrder,Q7ba,Q7bb,Q7bc,Q7bd,Q7be,Q7bf,Q7c,Q7z,Q8a,Q8b,Q8c,Q8d,Q8e,Q9,Q9a,DOVQ11Order,Q11,Q12,DOVQ13Order,Q13,Q14,Q20,us_born,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppt01,ppt25,ppt612,ppt1317,ppt18ov,ppwork,fips,ppp20071,TQ1,TQ3,TQ4,TQ5,TQ7,TQ7a,TQ7b,TQ7c,TQ7z,TQ8,TQ9,TQ9a,TQ11,TQ12,TQ13,TQ14,TQ20,speeder,refusers
9,2/26/2021 19:03:53,2/26/2021 19:12:46,533,1,.6037,2,1,3,4,6,2,10,Chrome,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,1,7,2,2,2,4,2,3,88,2,1,2,1,1,4,1,1,47,4,3,10,3,4,2,1,2,1,18,1,1,3,7,1,74,0,0,0,0,2,1,48039,2,8,401, ,4,4, , ,12,6,24,6, ,5,7,6,6,6,0,0
10,2/26/2021 19:13:33,2/26/2021 19:14:59,86,1,1.1253,5,1,1,6,1,3,3,Safari iPhone,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,1,88,1,88,1,1,2,2,1,88,1,3,66,6,4,9,2,1,2,1,2,1,16,1,1,1,2,1,23,0,0,0,0,2,5,42021,2,6, , , , , , , , ,18,6, ,9,8,13, ,6,0,0
11,2/26/2021 19:13:44,2/26/2021 19:15:25,101,1,.1461,5,1,2,4,3,3,10,Edge,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,1,1,1,4,88,2,3,5,2,2,88,1,3,70,6,4,14,4,2,1,1,2,1,16,1,1,4,9,1,93,0,0,0,0,2,5,6001,88,7, , , , , , , , ,26,9, ,7,12,9, ,6,0,0
12,2/26/2021 19:13:49,2/26/2021 19:15:41,112,1,.5235,1,1,1,4,6,3,8,Chrome,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,2,2,2,3,3,5,3,1,1,1,1,1,88,1,2,72,6,4,11,3,4,1,1,2,4,16,6,1,3,5,1,59,0,0,0,0,2,5,12099,2,8, , , , , , , , ,32,8,10,8,7,12, ,6,0,0
13,2/26/2021 19:13:54,2/26/2021 19:16:06,132,1,.2409,2,2,1,2,1,2,3,Safari iPhone,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,4,1,2,2,2,3,2,2,88,1,1,1,1,1,2,1,2,53,4,3,12,4,4,1,1,3,3,14,1,0,3,5,2,57,0,0,0,0,3,1,45021,1,14,4, ,5,5, , ,8,7,21,8, ,4,4,5,7,6,0,0
14,2/26/2021 19:14:00,2/26/2021 19:15:40,100,1,1.0576,5,1,1,4,5,1,3,Safari iPhone,1,88, ,88,88,88, ,88, , ,88,88,88,88,88,88,88,88,1,1,1,2,88,3,88,2,1,1,1,1,88,1,3,90,7,4,14,4,1,1,1,2,1,13,1,1,3,6,3,62,0,0,0,0,2,5,47093,1,10, , , , , , , , ,26,9, ,9,8,13, ,6,0,0
15,2/26/2021 19:14:09,2/26/2021 19:17:35,206,1,1.1243,5,1,1,4,2,3,10,Firefox,2,4, ,88,2,4,"_2,_3,_1,_5,_4,_6,refused",1, ,"a,c,d,b,e,f",2,3,3,1,2,1,88,1,4,4,3,4,88,3,88,1,3,5,2,2,2,3,3,50,4,3,12,4,1,1,1,4,1,17,1,1,2,3,1,31,0,0,1,0,3,1,39113,1,10,8, ,8,10,17,34, ,12,20,11, ,10,9,14,9,6,0,0
16,2/26/2021 19:14:08,2/26/2021 19:16:39,151,1,1.0975,5,1,1,1,7,1,10,Firefox,2,1, ,88,2,1, ,88, , ,88,88,88,88,88,88,3,7,1,1,1,4,88,2,88,1,1,1,2,1,4,1,3,23,1,1,12,4,5,1,1,2,3,16,5,1,3,5,2,53,0,0,0,0,2,1,11001,88,15,4, ,4,3, , ,10,7,17,5, ,6,8,5,7,7,0,0
17,2/26/2021 19:14:23,2/26/2021 19:17:39,196,1,1.2581,5,1,2,4,6,1,3,Safari iPhone,2,2, ,88,3,3,"_3,_4,_1,_5,_2,_6,refused",3, ,"a,c,f,b,e,d",4,2,4,1,1,2,88,7,1,3,2,2,3,2,88,2,3,2,2,1,2,1,3,38,3,2,8,1,2,1,1,1,1,13,5,1,2,4,1,43,0,0,0,0,1,1,29510,88,6,4, ,3,7,6,36, ,11,25,6, ,9,9,9,7,7,0,0
18,2/26/2021 19:14:47,2/26/2021 19:18:23,216,1,2.4777,5,1,1,2,6,1,4,Safari,2,1, ,88,1,1, ,88, , ,88,88,88,88,88,88,4,4,1,1,1,3,88,1,88,1,1,1,1,1,1,1,3,70,6,4,5,1,3,2,1,2,1,9,1,1,4,9,1,91,0,0,0,0,2,6,53053,2,10,8, ,8,10, , ,32,15,25,25, ,11,10,16,13,13,0,0
